Statistical profiling result from isolate-0x7f8088008000-8291-v8.log, (9266 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  LazyCompile: *getModifierFlagsWorker /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:17640:36
      3    0.0%    0.0%  LazyCompile: *getFlowTypeOfReference /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:63279:40
      3    0.0%    0.0%  LazyCompile: *getDeclarationName /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:40182:36
      3    0.0%    0.0%  LazyCompile: *getBit /Users/tbryant/Projects/nstrumenta/examples/node-sfu/packages/werift/rtp/src/utils.ts:16:16
      3    0.0%    0.0%  LazyCompile: *findAncestor /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:11822:26
      3    0.0%    0.0%  LazyCompile: *emitTokenWithComment /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:101861:38
      3    0.0%    0.0%  LazyCompile: *emitNodeList /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:102974:30
      3    0.0%    0.0%  LazyCompile: *emitExpression /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:100405:32
      3    0.0%    0.0%  LazyCompile: *emit /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:100392:22
      3    0.0%    0.0%  LazyCompile: *createIdentifier /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:29311:34
      3    0.0%    0.0%  LazyCompile: *compareValues /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:1855:27
      3    0.0%    0.0%  LazyCompile: *checkSourceElementWorker /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:76879:42
      3    0.0%    0.0%  LazyCompile: *assert /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:2497:24
      3    0.0%    0.0%  LazyCompile: *M /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/tweetnacl/nacl-fast.js:927:11
      3    0.0%    0.0%  Function: ^structuredTypeRelatedToWorker /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:59186:51
      3    0.0%    0.0%  Function: ^pipelineEmitWithHint /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:100468:38
      3    0.0%    0.0%  Function: ^isSimpleTypeRelatedTo /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:58228:39
      3    0.0%    0.0%  Function: ^isRelatedTo /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:58621:33
      2    0.0%    0.0%  RegExp: [^\u0130\u0131\u00DFa-z0-9\\/:\-_\. ]+
      2    0.0%    0.0%  LazyCompile: *visitNodes /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:27851:24
      2    0.0%    0.0%  LazyCompile: *speculationHelper /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:29115:35
      2    0.0%    0.0%  LazyCompile: *skipWhitespaceOrAsterisk /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:34332:50
      2    0.0%    0.0%  LazyCompile: *setParentRecursive /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:19764:32
      2    0.0%    0.0%  LazyCompile: *parseParameterWorker /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:30399:38
      2    0.0%    0.0%  LazyCompile: *parseLiteralLikeNode /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:30176:38
      2    0.0%    0.0%  LazyCompile: *parseDeclaration /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:33157:34
      2    0.0%    0.0%  LazyCompile: *isPropertyAccessExpression /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:26544:40
      2    0.0%    0.0%  LazyCompile: *isInJSFile /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:15161:24
      2    0.0%    0.0%  LazyCompile: *getTransformFlagsSubtreeExclusions /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:25114:48
      2    0.0%    0.0%  LazyCompile: *getSymbolOfNode /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:46579:33
      2    0.0%    0.0%  LazyCompile: *getSymbolLinks /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:44594:32
      2    0.0%    0.0%  LazyCompile: *getPropertyOfType /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:53661:35
      2    0.0%    0.0%  LazyCompile: *getPipelinePhase /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:100431:34
      2    0.0%    0.0%  LazyCompile: *getObjectFlags /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:18390:28
      2    0.0%    0.0%  LazyCompile: *getAssignmentTargetKind /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:15817:37
      2    0.0%    0.0%  LazyCompile: *fileExtensionIs /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:5756:29
      2    0.0%    0.0%  LazyCompile: *emitIdentifier /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:101034:32
      2    0.0%    0.0%  LazyCompile: *deSerialize /Users/tbryant/Projects/nstrumenta/examples/node-sfu/packages/werift/rtp/src/rtp/rtp.ts:43:23
      2    0.0%    0.0%  LazyCompile: *createBaseFunctionLikeDeclaration /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:20900:51
      2    0.0%    0.0%  LazyCompile: *createBaseBindingLikeDeclaration /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:20928:50
      2    0.0%    0.0%  LazyCompile: *cloneNode /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:24438:27
      2    0.0%    0.0%  LazyCompile: *checkPropertyAccessExpressionOrQualifiedName /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:67060:62
      2    0.0%    0.0%  LazyCompile: *bindWorker /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:42200:28
      2    0.0%    0.0%  LazyCompile: *base64VLQFormatEncode /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:81300:35
      2    0.0%    0.0%  LazyCompile: *addJSDocComment /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:28806:33
      2    0.0%    0.0%  Function: ^verb /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:42:18
      2    0.0%    0.0%  Function: ^markSymbolOfAliasDeclarationIfTypeOnly /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:46037:56
      2    0.0%    0.0%  Function: ^isListTerminator /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:29589:34
      2    0.0%    0.0%  Function: ^instantiateTypeWithSingleGenericCallSignature /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:71654:63
      2    0.0%    0.0%  Function: ^getUnmatchedProperty /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:61575:38
      2    0.0%    0.0%  Function: ^getTypeOfSymbol /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:51338:33
      2    0.0%    0.0%  Function: ^getTypeOfParameter /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:69683:36
      2    0.0%    0.0%  Function: ^getSeparatingLineTerminatorCount /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:103287:50
      2    0.0%    0.0%  Function: ^forEachChild /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:27885:26
      2    0.0%    0.0%  Function: ^declareSymbol /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:40266:31
      2    0.0%    0.0%  Function: ^checkPropertyAccessExpressionOrQualifiedName /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:67060:62
      2    0.0%    0.0%  Function: ^checkIdentifier /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:64337:33
      2    0.0%    0.0%  Function: ^bindWorker /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:42200:28
      2    0.0%    0.0%  Function: ^<anonymous> /Users/tbryant/Projects/nstrumenta/examples/node-sfu/node_modules/typescript/lib/typescript.js:34212:74
      1    0.0%    0.0%  RegExp: ^\s+|\s+$
      1    0.0%    0.0%  RegExp: ^\s*(?:\/|\*)*\s*@(ts-expect-error|ts-ignore) {1}
      1    0.0%    0.0%  RegExp: ^\s*(?:\/|\*)*\s*@(ts-expect-error|ts-ignore)
      1    0.0%    0.0%  RegExp: ^((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])$
